"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 13:28:21 BDT 2024","Thu Feb 29 13:28:22 BDT 2024","776","Default Suite","WebAutomation21POM","testcases.TestProductPage","testcases.TestProductPage","testProductDetails","testProductDetails",""
"passed","Sat Feb 24 15:59:47 BDT 2024","Sat Feb 24 15:59:47 BDT 2024","535","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithoutPassword","testLoginWithoutPassword",""
"passed","Mon Feb 26 21:58:19 BDT 2024","Mon Feb 26 21:58:22 BDT 2024","2891","Default Suite","WebAutomation21POM","testcases.TestCheckOut","testcases.TestCheckOut","purchaseProduct","purchaseProduct",""
"broken","Mon Feb 26 21:51:19 BDT 2024","Mon Feb 26 21:51:19 BDT 2024","6","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","openABrowser","openABrowser",""
"passed","Mon Feb 26 21:57:23 BDT 2024","Mon Feb 26 21:57:24 BDT 2024","596","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Feb 24 15:59:47 BDT 2024","Sat Feb 24 15:59:48 BDT 2024","550","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithoutUsername","testLoginWithoutUsername",""
"passed","Sat Feb 24 15:59:43 BDT 2024","Sat Feb 24 15:59:44 BDT 2024","646","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidUsername","testLoginWithInvalidUsername",""
"passed","Mon Feb 26 21:57:22 BDT 2024","Mon Feb 26 21:57:23 BDT 2024","462","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Mon Feb 26 21:57:21 BDT 2024","Mon Feb 26 21:57:22 BDT 2024","499","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Thu Feb 29 13:28:16 BDT 2024","Thu Feb 29 13:28:21 BDT 2024","5162","Default Suite","WebAutomation21POM","testcases.TestProductPage","testcases.TestProductPage","testAddCart","testAddCart",""
"passed","Sat Feb 24 15:59:45 BDT 2024","Sat Feb 24 15:59:47 BDT 2024","1960","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithValidCredentials","Test with valid user credentials","User trying to login with valid username and password"
"passed","Mon Feb 26 21:57:22 BDT 2024","Mon Feb 26 21:57:22 BDT 2024","520","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Mon Feb 26 21:57:19 BDT 2024","Mon Feb 26 21:57:20 BDT 2024","1864","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Mon Feb 26 21:57:21 BDT 2024","Mon Feb 26 21:57:21 BDT 2024","661","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Feb 24 15:59:48 BDT 2024","Sat Feb 24 15:59:48 BDT 2024","265","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithoutUsernamePassword","testLoginWithoutUsernamePassword",""
"passed","Sat Feb 24 15:59:43 BDT 2024","Sat Feb 24 15:59:43 BDT 2024","607","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidPassword","testLoginWithInvalidPassword",""
"passed","Sat Feb 24 15:59:44 BDT 2024","Sat Feb 24 15:59:45 BDT 2024","623","Default Suite","WebAutomation21POM","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidUsernamePassword","testLoginWithInvalidUsernamePassword",""
